4629
11
11010621300
1751070683
0 1 1 694 309 6 (D 15,1,1) (S 23,22,16) (S 61,4,4) (S 51,3,3) (S 0,3,9) (D 15,1,1)
0 1 2 1541 514 9 (D 15,1,1) (S 31,22,23) (S 2,17,18) (S 13,18,24) (S 41,24,30) (S 45,36,30) (S 20,23,22) (S 62,22,22) (D 15,1,1)
0 1 3 803 288 5 (D 15,1,1) (S 14,21,27) (S 42,33,39) (S 16,39,33) (D 15,1,1)
0 1 4 959 375 7 (D 15,1,1) (S 36,11,5) (S 34,5,6) (S 37,6,5) (S 9,4,10) (S 19,10,9) (D 15,1,1)
0 1 5 1334 379 9 (D 15,1,1) (S 55,14,14) (S 27,14,13) (S 33,13,19) (S 50,25,25) (S 48,31,31) (S 43,31,25) (S 22,19,20) (D 15,1,1)
0 1 6 778 383 9 (D 15,1,1) (S 25,10,11) (S 54,11,11) (S 5,11,12) (S 49,12,12) (S 39,12,18) (S 47,18,18) (S 29,16,17) (D 15,1,1)
0 1 7 1 68 3 (D 15,1,1) (S 58,21,21) (D 15,1,1)
0 1 8 1315 515 9 (D 15,1,1) (S 21,21,20) (S 3,19,25) (S 6,31,32) (S 60,32,32) (S 11,32,33) (S 26,39,38) (S 24,32,26) (D 15,1,1)
0 1 9 1538 525 9 (D 15,1,1) (S 57,7,7) (S 53,8,8) (S 40,1,7) (S 59,1,1) (S 1,1,2) (S 15,3,4) (S 7,10,16) (D 15,1,1)
0 1 10 1428 688 10 (D 15,1,1) (S 38,22,28) (S 30,28,34) (S 10,35,36) (S 17,35,41) (S 56,41,41) (S 46,41,42) (S 18,35,29) (S 4,23,29) (D 15,1,1)
0 1 11 1134 585 9 (D 15,1,1) (S 28,27,26) (S 44,38,37) (S 35,38,39) (S 12,39,40) (S 52,40,40) (S 8,40,41) (S 32,34,33) (D 15,1,1)
